Trade,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
1,666.6666666666666,-666.6666666666666,100000.0,99333.33333333333
2,622.222222222222,1555.5555555555547,99333.33333333333,100888.88888888888
3,725.9259259259251,1814.8012303631879,100888.88888888888,102703.69011925206
4,846.912674616804,-846.912674616804,102703.69011925206,101856.77744463526
5,790.4518296423504,-790.4518296423504,101856.77744463526,101066.32561499291
6,737.7550409995272,1844.374004831445,101066.32561499291,102910.69961982436
7,860.7133079882905,2151.7691687008946,102910.69961982436,105062.46878852525
8,1004.1645859016833,2510.433400281883,105062.46878852525,107572.90218880713
9,1171.5268125871419,-1171.5268125871419,107572.90218880713,106401.37537621999
10,1093.4250250813327,2733.577461937881,106401.37537621999,109134.95283815787
11,1275.663522543858,3189.1588063596455,109134.95283815787,112324.11164451751
12,1488.274109634501,-1488.274109634501,112324.11164451751,110835.83753488302
13,1389.0558356588676,-1389.0558356588676,110835.83753488302,109446.78169922414
14,1296.4521132816094,-1296.4521132816094,109446.78169922414,108150.32958594253
15,1210.0219723961684,-1210.0219723961684,108150.32958594253,106940.30761354636
16,1129.353840903091,-1129.353840903091,106940.30761354636,105810.95377264328
17,1054.0635848428851,-1054.0635848428851,105810.95377264328,104756.8901878004
18,983.7926791866931,2459.474493544459,104756.8901878004,107216.36468134486
19,1147.7576454229904,-1147.7576454229904,107216.36468134486,106068.60703592187
20,1071.240469061458,-1071.240469061458,106068.60703592187,104997.36656686041
21,999.8244377906939,2499.5755173791,104997.36656686041,107496.9420842395
22,1166.462805615967,2916.142057087494,107496.9420842395,110413.084141327
23,1360.8722760884664,-1360.8722760884664,110413.084141327,109052.21186523853
24,1270.1474576825683,-1270.1474576825683,109052.21186523853,107782.06440755595
25,1185.4709605037303,-1185.4709605037303,107782.06440755595,106596.59344705222
26,1106.4395631368145,-1106.4395631368145,106596.59344705222,105490.15388391541
27,1032.6769255943607,-1032.6769255943607,105490.15388391541,104457.47695832104
28,963.8317972214029,2409.558197295788,104457.47695832104,106867.03515561683
29,1124.4690103744554,-1124.4690103744554,106867.03515561683,105742.56614524238
30,1049.5044096828253,2623.7610242070637,105742.56614524238,108366.32716944945
31,1224.4218112966298,3061.0620285283208,108366.32716944945,111427.38919797777
32,1428.492613198518,-1428.492613198518,111427.38919797777,109998.89658477926
33,1333.259772318617,-1333.259772318617,109998.89658477926,108665.63681246064
34,1244.3757874973758,3110.946976289669,108665.63681246064,111776.5837887503
