time,open,high,low,close
2023-12-27T01:45:00+01:00,2065.38,2066.125,2064.93,2065.59
2023-12-27T02:00:00+01:00,2065.59,2066.56,2064.945,2066.025
2023-12-27T02:15:00+01:00,2066.025,2067.145,2065.46,2066.495
2023-12-27T02:30:00+01:00,2066.495,2067.92,2066.41,2067.375
2023-12-27T02:45:00+01:00,2067.375,2067.645,2066.43,2066.76
2023-12-27T03:00:00+01:00,2066.76,2067.295,2065.645,2065.685
2023-12-27T03:15:00+01:00,2065.685,2066.015,2064.815,2065.41
2023-12-27T03:30:00+01:00,2065.41,2065.99,2065.115,2065.68
2023-12-27T03:45:00+01:00,2065.68,2065.85,2064.96,2065.49
2023-12-27T04:00:00+01:00,2065.49,2065.525,2064.47,2065.05
2023-12-27T04:15:00+01:00,2065.05,2066.615,2064.95,2066.35
2023-12-27T04:30:00+01:00,2066.35,2066.61,2065.205,2065.515
2023-12-27T04:45:00+01:00,2065.515,2065.52,2064.505,2064.67
2023-12-27T05:00:00+01:00,2064.67,2065.07,2064.135,2064.64
2023-12-27T05:15:00+01:00,2064.64,2065.09,2064.53,2064.53
2023-12-27T05:30:00+01:00,2064.53,2064.835,2064.335,2064.68
2023-12-27T05:45:00+01:00,2064.68,2066.02,2064.665,2065.88
2023-12-27T06:00:00+01:00,2065.88,2066.295,2065.64,2066.015
2023-12-27T06:15:00+01:00,2066.015,2066.265,2065.77,2065.815
2023-12-27T06:30:00+01:00,2065.815,2066.025,2064.405,2064.725
2023-12-27T06:45:00+01:00,2064.725,2065.71,2064.57,2064.785
2023-12-27T07:00:00+01:00,2064.785,2065.52,2064.51,2065.32
2023-12-27T07:15:00+01:00,2065.32,2067.09,2065.06,2066.6
2023-12-27T07:30:00+01:00,2066.6,2067.52,2065.915,2065.965
2023-12-27T07:45:00+01:00,2065.965,2066.375,2065.01,2065.08
2023-12-27T08:00:00+01:00,2065.08,2066.175,2064.825,2065.535
2023-12-27T08:15:00+01:00,2065.535,2066.48,2065.385,2065.86
2023-12-27T08:30:00+01:00,2065.86,2066.16,2065.055,2065.56
2023-12-27T08:45:00+01:00,2065.56,2066.225,2065.25,2066.105
2023-12-27T09:00:00+01:00,2066.105,2068.38,2065.9,2066.81
2023-12-27T09:15:00+01:00,2066.81,2068.41,2066.74,2067.1
2023-12-27T09:30:00+01:00,2067.1,2068.185,2066.63,2067.73
2023-12-27T09:45:00+01:00,2067.73,2068.16,2067.2,2067.415
2023-12-27T10:00:00+01:00,2067.415,2068.51,2067.3,2067.98
2023-12-27T10:15:00+01:00,2067.98,2069.375,2067.835,2068.625
2023-12-27T10:30:00+01:00,2068.625,2068.845,2068.41,2068.69
2023-12-27T10:45:00+01:00,2068.69,2068.845,2068.28,2068.38
2023-12-27T11:00:00+01:00,2068.38,2068.735,2067.67,2067.95
2023-12-27T11:15:00+01:00,2067.95,2068.01,2063.71,2063.865
