Trade,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
1,769.2307692307693,-769.2307692307693,100000.0,99230.76923076923
2,710.0591715976334,1775.1479289940835,99230.76923076923,101005.91715976331
3,846.6090122894855,2116.506687896282,101005.91715976331,103122.4238476596
4,1009.4172190507379,-1009.4172190507379,103122.4238476596,102113.00662860885
5,931.7697406622196,-931.7697406622196,102113.00662860885,101181.23688794664
6,860.0951452266644,2150.222010531546,101181.23688794664,103331.45889847819
7,1025.496838344476,2563.7252949037807,103331.45889847819,105895.18419338197
8,1222.7064764139975,3056.792900512831,105895.18419338197,108951.97709389479
9,1457.8443918380608,-1457.8443918380608,108951.97709389479,107494.13270205673
10,1345.702515542825,3364.2746256766454,107494.13270205673,110858.40732773337
11,1604.4928713641052,4011.2321784102633,110858.40732773337,114869.63950614363
12,1913.0491927802796,-1913.0491927802796,114869.63950614363,112956.59031336335
13,1765.891562566412,-1765.891562566412,112956.59031336335,111190.69875079695
14,1630.0537500613036,-1630.0537500613036,111190.69875079695,109560.64500073565
15,1504.6650000565883,-1504.6650000565883,109560.64500073565,108055.98000067906
16,1388.9215385137738,-1388.9215385137738,108055.98000067906,106667.05846216528
17,1282.08142016656,-1282.08142016656,106667.05846216528,105384.97704199872
18,1183.4597724614398,2958.6407645471845,105384.97704199872,108343.6178065459
19,1411.0475235804536,-1411.0475235804536,108343.6178065459,106932.57028296545
20,1302.5054063819575,-1302.5054063819575,106932.57028296545,105630.06487658349
21,1202.3126828141149,3005.7990509186543,105630.06487658349,108635.86392750214
22,1433.5279944232416,3583.8016046661664,108635.86392750214,112219.6655321683
23,1709.2050409360236,-1709.2050409360236,112219.6655321683,110510.46049123228
24,1577.727730094791,-1577.727730094791,110510.46049123228,108932.7327611375
25,1456.364058549038,-1456.364058549038,108932.7327611375,107476.36870258846
26,1344.3360540452659,-1344.3360540452659,107476.36870258846,106132.03264854319
27,1240.925588349476,-1240.925588349476,106132.03264854319,104891.10706019371
28,1145.4697738610546,2863.649125623769,104891.10706019371,107754.75618581747
29,1365.7504758321134,-1365.7504758321134,107754.75618581747,106389.00570998536
30,1260.6927469219506,3151.731867304877,106389.00570998536,109540.73757729023
31,1503.1336597915563,3757.8433570357656,109540.73757729023,113298.58093432599
32,1792.1985334096914,-1792.1985334096914,113298.58093432599,111506.38240091629
33,1654.3371077627917,-1654.3371077627917,111506.38240091629,109852.0452931535
34,1527.0804071656535,3817.710231068928,109852.0452931535,113669.75552422242
35,1820.7504249401861,-1820.7504249401861,113669.75552422242,111849.00509928224
36,1680.6926999447874,-1680.6926999447874,111849.00509928224,110168.31239933745
37,1551.4086461028805,3878.540052800533,110168.31239933745,114046.85245213797
38,1849.7578809336903,-1849.7578809336903,114046.85245213797,112197.09457120429
39,1707.4688131695607,4268.681526351012,112197.09457120429,116465.7760975553
40,2035.8289305811766,-2035.8289305811766,116465.7760975553,114429.94716697412
41,1879.2267051518552,-1879.2267051518552,114429.94716697412,112550.72046182226
42,1734.6708047555585,-1734.6708047555585,112550.72046182226,110816.0496570667
43,1601.2345890051308,4003.077242537446,110816.0496570667,114819.12689960415
44,1909.1636076618574,-1909.1636076618574,114819.12689960415,112909.96329194229
45,1762.3048686109453,4405.781181547089,112909.96329194229,117315.74447348938
46,2101.211113345337,-2101.211113345337,117315.74447348938,115214.53336014404
47,1939.579489241849,-1939.579489241849,115214.53336014404,113274.95387090219
48,1790.381066992476,-1790.381066992476,113274.95387090219,111484.57280390972
49,1652.6594464545935,-1652.6594464545935,111484.57280390972,109831.91335745512
50,1525.5317967273172,3813.820512502974,109831.91335745512,113645.7338699581
51,1818.9026053813925,-1818.9026053813925,113645.7338699581,111826.83126457671
52,1678.987020352055,4197.45830403301,111826.83126457671,116024.28956860972
53,2001.8684283545938,-2001.8684283545938,116024.28956860972,114022.42114025513
54,1847.8785492503946,-1847.8785492503946,114022.42114025513,112174.54259100473
55,1705.7340454619027,-1705.7340454619027,112174.54259100473,110468.80854554284
56,1574.5237342725259,-1574.5237342725259,110468.80854554284,108894.2848112703
57,1453.4065239438698,-1453.4065239438698,108894.2848112703,107440.87828732644
58,1341.606022102034,-1341.606022102034,107440.87828732644,106099.27226522441
59,1238.4055588634162,3096.00564980869,106099.27226522441,109195.2779150331
60,1476.5598396179312,-1476.5598396179312,109195.2779150331,107718.71807541518
61,1362.9783134934753,-1362.9783134934753,107718.71807541518,106355.73976192171
62,1258.1338278401313,3145.351074478166,106355.73976192171,109501.09083639988
63,1500.0839104922982,-1500.0839104922982,109501.09083639988,108001.00692590758
64,1384.6928404544294,-1384.6928404544294,108001.00692590758,106616.31408545315
65,1278.1780065733194,-1278.1780065733194,106616.31408545315,105338.13607887983
66,1179.8566214522948,2949.641553630737,105338.13607887983,108287.77763251057
67,1406.7521255777358,3516.8718105404105,108287.77763251057,111804.64944305098
68,1677.2807263885368,-1677.2807263885368,111804.64944305098,110127.36871666244
69,1548.2591320509573,3870.6741006012244,110127.36871666244,113998.04281726367
70,1846.0032936356672,4615.008234089168,113998.04281726367,118613.05105135284
71,2201.003927027142,-2201.003927027142,118613.05105135284,116412.0471243257
72,2031.695932640439,-2031.695932640439,116412.0471243257,114380.35119168527
73,1875.4116301296365,-1875.4116301296365,114380.35119168527,112504.93956155564
74,1731.1491970427417,4327.8729926068545,112504.93956155564,116832.81255416249
75,2064.062504166345,-2064.062504166345,116832.81255416249,114768.75004999615
76,1905.288465384319,-1905.288465384319,114768.75004999615,112863.46158461182
77,1758.7278142009095,4396.810506847314,112863.46158461182,117260.27209145913
78,2096.944007035318,5242.388724235223,117260.27209145913,122502.66081569435
79,2500.204678130335,-2500.204678130335,122502.66081569435,120002.45613756402
80,2307.881241351078,5769.7228113402025,120002.45613756402,125772.17894890423
81,2751.706072992633,6879.233852095076,125772.17894890423,132651.4128009993
82,3280.877907769177,-3280.877907769177,132651.4128009993,129370.53489323013
83,3028.5026840946252,-3028.5026840946252,129370.53489323013,126342.0322091355
84,2795.5409391642697,6988.852347910674,126342.0322091355,133330.88455704617
85,3333.1449659266286,-3333.1449659266286,133330.88455704617,129997.73959111955
86,3076.7491993168883,7691.8729982922205,129997.73959111955,137689.61258941176
87,3500.0,-3500.0,137689.61258941176,134189.61258941176
88,3399.200968416289,-3399.200968416289,134189.61258941176,130790.41162099547
89,3137.723970845805,-3137.723970845805,130790.41162099547,127652.68765014966
90,2896.3605884730505,-2896.3605884730505,127652.68765014966,124756.32706167661
91,2673.56362012897,6683.919255309027,124756.32706167661,131440.24631698563
92,3187.711255152741,7969.288953435046,131440.24631698563,139409.5352704207
93,3500.0,8750.021111298767,139409.5352704207,148159.55638171945
94,3500.0,-3500.0,148159.55638171945,144659.55638171945
95,3500.0,-3500.0,144659.55638171945,141159.55638171945
96,3500.0,8749.989603569244,141159.55638171945,149909.54598528869
97,3500.0,-3500.0,149909.54598528869,146409.54598528869
