Week Number,Week Period,Week Day Start,Week Day End,Trades,Wins,Losses,Win Rate,Total PnL,Average PnL,Average R Multiple,Start Balance,End Balance,Return Percent
60,2025-10-13/2025-10-19,Monday,Thursday,9,5,4,55.56,29750.00,3305.56,0.94,588330.53,618080.53,5.06
61,2025-11-03/2025-11-09,Monday,Friday,14,8,6,57.14,49000.00,3500.00,1.00,618080.53,667080.53,7.93
62,2025-11-10/2025-11-16,Monday,Monday,2,2,0,100.00,17500.00,8750.00,2.50,667080.53,684580.53,2.62
63,2025-12-01/2025-12-07,Monday,Friday,25,6,19,24.00,-14000.00,-560.00,-0.16,684580.53,670580.53,-2.05
64,2025-12-08/2025-12-14,Monday,Friday,11,5,6,45.45,22750.00,2068.18,0.59,670580.53,693330.53,3.39
65,2025-12-15/2025-12-21,Monday,Friday,14,4,10,28.57,0.00,0.00,0.00,693330.53,693330.53,0.00
66,2025-12-22/2025-12-28,Monday,Friday,11,3,8,27.27,-1750.00,-159.09,-0.05,693330.53,691580.53,-0.25
67,2025-12-29/2026-01-04,Monday,Friday,16,6,10,37.50,17500.00,1093.75,0.31,691580.53,709080.53,2.53
68,2026-01-05/2026-01-11,Monday,Friday,13,5,8,38.46,15750.00,1211.54,0.35,709080.53,724830.53,2.22
69,2026-01-12/2026-01-18,Monday,Friday,21,7,14,33.33,12250.00,583.33,0.17,724830.53,737080.53,1.69
70,2026-01-19/2026-01-25,Tuesday,Friday,11,2,9,18.18,-14000.00,-1272.73,-0.36,737080.53,723080.53,-1.90
71,2026-01-26/2026-02-01,Monday,Thursday,10,1,9,10.00,-22750.00,-2275.00,-0.65,723080.53,700330.53,-3.15
