Entry Time,Exit Time,Direction,Entry Price,SL Price,TP Price,Exit Price,Result,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
2024-01-03 13:55:00,2024-01-03 14:20:00,SHORT,16462.15,16472.91,16429.86,16472.91,SL,500.0,-500.0,100000.0,99500.0
2024-01-03 14:55:00,2024-01-03 15:00:00,SHORT,16457.65,16480.27,16389.78,16480.27,SL,475.0,-475.0,99500.0,99025.0
2024-01-03 15:05:00,2024-01-03 20:50:00,SHORT,16454.7,16482.8,16370.39,16370.39,TP,451.25,1353.75,99025.0,100378.75
2024-01-04 14:45:00,2024-01-04 14:50:00,SHORT,16307.4,16328.4,16244.39,16328.4,SL,518.94,-518.94,100378.75,99859.81
2024-01-04 14:55:00,2024-01-04 15:00:00,SHORT,16310.65,16335.57,16235.9,16335.57,SL,492.99,-492.99,99859.81,99366.82
2024-01-04 16:45:00,2024-01-04 17:45:00,SHORT,16392.85,16410.54,16339.78,16339.78,TP,468.34,1405.02,99366.83,100771.85
2024-01-05 13:30:00,2024-01-05 13:50:00,SHORT,16222.1,16240.08,16168.17,16240.08,SL,538.59,-538.59,100771.84,100233.25
2024-01-08 14:05:00,2024-01-08 14:30:00,LONG,16340.5,16329.56,16373.31,16373.31,TP,511.66,1534.99,100233.25,101768.24
2024-01-08 16:30:00,2024-01-08 17:40:00,LONG,16514.85,16499.47,16560.98,16560.98,TP,588.41,1765.24,101768.24,103533.48
2024-01-09 14:40:00,2024-01-09 14:55:00,SHORT,16534.35,16555.54,16470.78,16555.54,SL,676.67,-676.67,103533.47,102856.8
2024-01-10 14:50:00,2024-01-10 15:10:00,SHORT,16680.75,16698.76,16626.73,16698.76,SL,642.84,-642.84,102856.8,102213.96
2024-01-10 16:40:00,2024-01-10 16:50:00,LONG,16744.15,16728.89,16789.93,16728.89,SL,610.7,-610.7,102213.96,101603.26
2024-01-10 16:55:00,2024-01-10 18:00:00,LONG,16739.4,16723.81,16786.17,16786.17,TP,580.16,1740.49,101603.26,103343.75
2024-01-11 13:30:00,2024-01-11 14:25:00,SHORT,16811.0,16837.68,16730.96,16837.68,SL,667.19,-667.19,103343.76,102676.57
2024-01-11 14:45:00,2024-01-11 15:05:00,SHORT,16811.0,16841.15,16720.55,16720.55,TP,633.83,1901.49,102676.56,104578.05
2024-01-11 17:25:00,2024-01-11 17:40:00,SHORT,16649.1,16676.04,16568.29,16676.04,SL,728.9,-728.9,104578.05,103849.15
2024-01-12 13:30:00,2024-01-12 13:45:00,LONG,16830.35,16809.74,16892.19,16809.74,SL,692.46,-692.46,103849.15,103156.69
2024-01-12 15:10:00,2024-01-15 03:55:00,SHORT,16827.85,16860.53,16729.81,16860.53,SL,657.83,-657.83,103156.69,102498.86
2024-01-15 14:45:00,2024-01-15 14:55:00,SHORT,16816.2,16825.17,16789.29,16825.17,SL,624.94,-624.94,102498.85,101873.91
