Entry Time,Exit Time,Direction,Entry Price,SL Price,TP Price,Exit Price,Result,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
2024-01-03 13:55:00,2024-01-03 14:20:00,SHORT,16462.15,16472.91,16435.24,16472.91,SL,500.0,-500.0,100000.0,99500.0
2024-01-03 14:35:00,2024-01-03 14:40:00,SHORT,16458.2,16476.77,16411.78,16476.77,SL,475.0,-475.0,99500.0,99025.0
2024-01-03 14:55:00,2024-01-03 15:00:00,SHORT,16457.65,16480.27,16401.09,16480.27,SL,451.25,-451.25,99025.0,98573.75
2024-01-03 15:05:00,2024-01-03 19:05:00,SHORT,16454.7,16482.8,16384.44,16384.44,TP,428.69,1071.72,98573.75,99645.47
2024-01-04 14:45:00,2024-01-04 14:50:00,SHORT,16307.4,16328.4,16254.89,16328.4,SL,482.27,-482.27,99645.47,99163.2
2024-01-04 14:55:00,2024-01-04 15:00:00,SHORT,16310.65,16335.57,16248.36,16335.57,SL,458.16,-458.16,99163.2,98705.04
2024-01-04 16:50:00,2024-01-04 19:25:00,SHORT,16374.5,16394.18,16325.31,16325.31,TP,435.25,1088.13,98705.04,99793.16
2024-01-05 13:30:00,2024-01-05 13:50:00,SHORT,16222.1,16240.08,16177.16,16240.08,SL,489.66,-489.66,99793.16,99303.51
2024-01-09 14:40:00,2024-01-09 14:55:00,SHORT,16534.35,16555.54,16481.38,16555.54,SL,465.18,-465.18,99303.51,98838.33
2024-01-10 14:50:00,2024-01-10 15:10:00,SHORT,16680.75,16698.76,16635.73,16698.76,SL,441.92,-441.92,98838.33,98396.41
2024-01-10 16:35:00,2024-01-10 17:50:00,LONG,16727.15,16712.2,16764.53,16764.53,TP,419.82,1049.55,98396.41,99445.97
2024-01-11 13:30:00,2024-01-11 14:25:00,SHORT,16811.0,16837.68,16744.3,16837.68,SL,472.3,-472.3,99445.97,98973.67
2024-01-11 14:45:00,2024-01-11 15:05:00,SHORT,16811.0,16841.15,16735.62,16735.62,TP,448.68,1121.71,98973.67,100095.38
2024-01-12 15:00:00,2024-01-12 15:05:00,SHORT,16823.35,16851.04,16754.13,16851.04,SL,504.77,-504.77,100095.38,99590.61
2024-01-12 15:10:00,2024-01-15 03:55:00,SHORT,16827.85,16860.53,16746.15,16860.53,SL,479.53,-479.53,99590.61,99111.08
