Trade,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
1,400.0,-400.0,100000.0,99600.0
2,384.0,960.0,99600.0,100560.0
3,422.4,1055.9920955125565,100560.0,101615.99209551256
4,464.6396838205022,-464.6396838205022,101615.99209551256,101151.35241169206
5,446.05409646768237,-446.05409646768237,101151.35241169206,100705.29831522438
6,428.2119326089753,1070.5219390878208,100705.29831522438,101775.8202543122
7,471.0328101724881,1177.5743083892107,101775.8202543122,102953.39456270142
8,518.1357825080568,1295.3507747153014,102953.39456270142,104248.74533741672
9,569.949813496669,-569.949813496669,104248.74533741672,103678.79552392005
10,547.1518209568021,1367.8870079953867,103678.79552392005,105046.68253191544
11,601.8673012766178,1504.6682531915444,105046.68253191544,106551.35078510699
12,662.0540314042795,-662.0540314042795,106551.35078510699,105889.29675370271
13,635.5718701481086,-635.5718701481086,105889.29675370271,105253.7248835546
14,610.1489953421842,-610.1489953421842,105253.7248835546,104643.57588821242
15,585.7430355284969,-585.7430355284969,104643.57588821242,104057.83285268392
16,562.3133141073567,-562.3133141073567,104057.83285268392,103495.51953857655
17,539.8207815430621,-539.8207815430621,103495.51953857655,102955.69875703349
18,518.2279502813395,1295.5660806629235,102955.69875703349,104251.2648376964
19,570.0505935078562,-570.0505935078562,104251.2648376964,103681.21424418855
20,547.2485697675421,-547.2485697675421,103681.21424418855,103133.96567442101
21,525.3586269768404,1313.4041459687874,103133.96567442101,104447.3698203898
22,577.8947928155918,1444.729571991372,104447.3698203898,105892.09939238116
23,635.6839756952464,-635.6839756952464,105892.09939238116,105256.41541668592
24,610.2566166674369,-610.2566166674369,105256.41541668592,104646.15880001849
25,585.8463520007394,-585.8463520007394,104646.15880001849,104060.31244801775
26,562.41249792071,-562.41249792071,104060.31244801775,103497.89995009704
27,539.9159980038816,-539.9159980038816,103497.89995009704,102957.98395209316
28,518.3193580837262,1295.7869430000164,102957.98395209316,104253.77089509317
29,570.1508358037267,-570.1508358037267,104253.77089509317,103683.62005928945
30,547.3448023715778,1368.3620059289447,103683.62005928945,105051.98206521838
31,602.0792826087354,1505.2018946032022,105051.98206521838,106557.18395982159
32,662.2873583928636,-662.2873583928636,106557.18395982159,105894.89660142873
33,635.7958640571492,-635.7958640571492,105894.89660142873,105259.10073737158
34,610.3640294948633,1525.913756174742,105259.10073737158,106785.01449354633
35,671.4005797418533,-671.4005797418533,106785.01449354633,106113.61391380448
36,644.5445565521793,-644.5445565521793,106113.61391380448,105469.0693572523
37,618.762774290092,1546.9142893425324,105469.0693572523,107015.98364659483
38,680.6393458637933,-680.6393458637933,107015.98364659483,106335.34430073104
39,653.4137720292416,1633.5380630156033,106335.34430073104,107968.88236374664
40,718.7552945498657,-718.7552945498657,107968.88236374664,107250.12706919678
41,690.0050827678712,-690.0050827678712,107250.12706919678,106560.12198642892
42,662.4048794571567,-662.4048794571567,106560.12198642892,105897.71710697176
43,635.9086842788704,1589.768045137151,105897.71710697176,107487.48515210891
44,699.4994060843566,-699.4994060843566,107487.48515210891,106787.98574602455
45,671.5194298409822,1678.805818296685,106787.98574602455,108466.79156432123
46,738.6716625728493,-738.6716625728493,108466.79156432123,107728.11990174839
47,709.1247960699355,-709.1247960699355,107728.11990174839,107018.99510567845
48,680.7598042271379,-680.7598042271379,107018.99510567845,106338.2353014513
49,653.5294120580522,-653.5294120580522,106338.2353014513,105684.70588939326
50,627.3882355757302,1568.4668961177097,105684.70588939326,107253.17278551096
51,690.1269114204385,-690.1269114204385,107253.17278551096,106563.04587409053
52,662.5218349636212,1656.3009386386623,106563.04587409053,108219.3468127292
53,728.773872509168,-728.773872509168,108219.3468127292,107490.57294022004
54,699.6229176088015,-699.6229176088015,107490.57294022004,106790.95002261124
55,671.6380009044498,-671.6380009044498,106790.95002261124,106119.31202170679
56,644.7724808682717,-644.7724808682717,106119.31202170679,105474.53954083852
57,618.9815816335409,-618.9815816335409,105474.53954083852,104855.55795920498
58,594.222318368199,-594.222318368199,104855.55795920498,104261.33564083678
59,570.4534256334714,1426.1297650624767,104261.33564083678,105687.46540589926
60,627.4986162359704,-627.4986162359704,105687.46540589926,105059.96678966329
61,602.3986715865316,-602.3986715865316,105059.96678966329,104457.56811807676
62,578.3027247230702,1445.7643982945929,104457.56811807676,105903.33251637135
63,636.1333006548538,-636.1333006548538,105903.33251637135,105267.1992157165
64,610.6879686286597,-610.6879686286597,105267.1992157165,104656.51124708784
65,586.2604498835135,-586.2604498835135,104656.51124708784,104070.25079720432
66,562.810031888173,1407.0250797204324,104070.25079720432,105477.27587692476
67,619.0910350769904,1547.723845468779,105477.27587692476,107024.99972239354
68,680.9999888957414,-680.9999888957414,107024.99972239354,106343.9997334978
69,653.7599893399118,1634.4110661858147,106343.9997334978,107978.41079968361
70,719.1364319873444,1797.841079968361,107978.41079968361,109776.25187965197
71,791.0500751860789,-791.0500751860789,109776.25187965197,108985.20180446589
72,759.4080721786356,-759.4080721786356,108985.20180446589,108225.79373228726
73,729.0317492914904,-729.0317492914904,108225.79373228726,107496.76198299577
74,699.8704793198308,1749.676198299577,107496.76198299577,109246.43818129535
75,769.8575272518141,-769.8575272518141,109246.43818129535,108476.58065404353
76,739.0632261617412,-739.0632261617412,108476.58065404353,107737.51742788179
77,709.5006971152715,1773.7481004752885,107737.51742788179,109511.26552835708
78,780.4506211342831,1951.137237012467,109511.26552835708,111462.40276536955
79,858.4961106147821,-858.4961106147821,111462.40276536955,110603.90665475477
80,824.1562661901908,2060.397703290293,110603.90665475477,112664.30435804506
81,906.5721743218024,2266.4201137512546,112664.30435804506,114930.72447179632
82,997.2289788718527,-997.2289788718527,114930.72447179632,113933.49549292447
83,957.3398197169788,-957.3398197169788,113933.49549292447,112976.1556732075
84,919.0462269282999,2297.61556732075,112976.1556732075,115273.77124052825
85,1010.95084962113,-1010.95084962113,115273.77124052825,114262.82039090712
86,970.5128156362847,2426.282039090712,114262.82039090712,116689.10242999783
87,1067.5640971999132,-1067.5640971999132,116689.10242999783,115621.53833279792
88,1024.861533311917,-1024.861533311917,115621.53833279792,114596.676799486
89,983.86707197944,-983.86707197944,114596.676799486,113612.80972750655
90,944.5123891002621,-944.5123891002621,113612.80972750655,112668.2973384063
91,906.7318935362517,2266.8331948343216,112668.2973384063,114935.13053324062
