Trade,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
31,816.2520471385221,2040.6351178588454,106325.04094277044,108365.6760606293
32,918.2838030314648,-918.2838030314648,108365.6760606293,107447.39225759784
33,872.3696128798917,-872.3696128798917,107447.39225759784,106575.02264471794
34,828.7511322358972,2071.882830596574,106575.02264471794,108646.90547531452
35,932.3452737657259,-932.3452737657259,108646.90547531452,107714.5602015488
36,885.7280100774399,-885.7280100774399,107714.5602015488,106828.83219147136
37,841.441609573568,2103.6140239530487,106828.83219147136,108932.44621542441
38,946.6223107712206,-946.6223107712206,108932.44621542441,107985.8239046532
39,899.2911952326598,2248.232988088295,107985.8239046532,110234.05689274149
40,1011.7028446370743,-1011.7028446370743,110234.05689274149,109222.35404810442
41,961.1177024052209,-961.1177024052209,109222.35404810442,108261.2363456992
42,913.0618172849602,-913.0618172849602,108261.2363456992,107348.17452841424
43,867.4087264207119,2168.516816059121,107348.17452841424,109516.69134447337
44,975.8345672236683,-975.8345672236683,109516.69134447337,108540.85677724969
45,927.0428388624845,2317.617097186834,108540.85677724969,110858.47387443652
46,1042.9236937218259,-1042.9236937218259,110858.47387443652,109815.5501807147
47,990.7775090357347,-990.7775090357347,109815.5501807147,108824.77267167896
48,941.2386335839481,-941.2386335839481,108824.77267167896,107883.53403809501
49,894.1767019047504,-894.1767019047504,107883.53403809501,106989.35733619025
50,849.4678668095127,2123.6646670363375,106989.35733619025,109113.0220032266
51,955.6511001613296,-955.6511001613296,109113.0220032266,108157.37090306527
52,907.8685451532634,2269.666362891171,108157.37090306527,110427.03726595645
53,1021.3518632978223,-1021.3518632978223,110427.03726595645,109405.68540265862
54,970.2842701329312,-970.2842701329312,109405.68540265862,108435.40113252569
55,921.7700566262844,-921.7700566262844,108435.40113252569,107513.63107589941
56,875.6815537949703,-875.6815537949703,107513.63107589941,106637.94952210443
57,831.8974761052217,-831.8974761052217,106637.94952210443,105806.05204599921
58,790.3026022999605,-790.3026022999605,105806.05204599921,105015.74944369926
59,750.7874721849628,1876.9636804792415,105015.74944369926,106892.7131241785
60,844.6356562089247,-844.6356562089247,106892.7131241785,106048.07746796958
61,802.4038733984787,-802.4038733984787,106048.07746796958,105245.6735945711
62,762.2836797285548,1905.7191993696597,105245.6735945711,107151.39279394076
63,857.5696396970379,-857.5696396970379,107151.39279394076,106293.82315424373
64,814.6911577121864,-814.6911577121864,106293.82315424373,105479.13199653153
65,773.9565998265767,-773.9565998265767,105479.13199653153,104705.17539670496
66,735.2587698352479,1838.1469245881199,104705.17539670496,106543.32232129308
67,827.1661160646538,2067.910290185112,106543.32232129308,108611.23261147819
68,930.5616305739095,-930.5616305739095,108611.23261147819,107680.67098090428
69,884.033549045214,2210.0988726732544,107680.67098090428,109890.76985357754
70,994.5384926788771,2486.3462316971927,109890.76985357754,112377.11608527473
71,1118.8558042637364,-1118.8558042637364,112377.11608527473,111258.260281011
72,1062.91301405055,-1062.91301405055,111258.260281011,110195.34726696045
73,1009.7673633480226,-1009.7673633480226,110195.34726696045,109185.57990361244
74,959.2789951806219,2398.1974879515546,109185.57990361244,111583.77739156398
75,1079.1888695781993,-1079.1888695781993,111583.77739156398,110504.58852198579
76,1025.2294260992894,-1025.2294260992894,110504.58852198579,109479.3590958865
77,973.9679547943248,2434.914886996311,109479.3590958865,111914.2739828828
78,1095.7136991441403,2739.2992479109907,111914.2739828828,114653.5732307938
79,1232.67866153969,-1232.67866153969,114653.5732307938,113420.89456925412
80,1171.0447284627057,2927.621821197143,113420.89456925412,116348.51639045126
81,1317.425819522563,3293.5495488540055,116348.51639045126,119642.06593930526
82,1482.103296965263,-1482.103296965263,119642.06593930526,118159.96264234
83,1407.9981321170003,-1407.9981321170003,118159.96264234,116751.964510223
84,1337.5982255111498,3343.995563777875,116751.964510223,120095.96007400088
85,1801.439401110013,-1801.439401110013,120095.96007400088,118294.52067289087
86,1414.7260336445433,3536.8150841113584,118294.52067289087,121831.33575700222
87,1827.4700363550332,-1827.4700363550332,121831.33575700222,120003.86572064718
88,1800.0579858097076,-1800.0579858097076,120003.86572064718,118203.80773483748
89,1410.190386741874,-1410.190386741874,118203.80773483748,116793.6173480956
