Entry Time,Exit Time,Direction,Entry Price,SL Price,TP Price,Exit Price,Result,Risk ($),P/L ($),Balance Pre ($),Balance Post ($)
2024-01-03 13:55:00,2024-01-03 14:10:00,SHORT,16462.15,16472.91,16440.62,16440.62,TP,500.0,1000.0,100000.0,101000.0
2024-01-03 14:55:00,2024-01-03 15:00:00,SHORT,16457.65,16480.27,16412.4,16480.27,SL,550.0,-550.0,101000.0,100450.0
2024-01-03 15:05:00,2024-01-03 15:35:00,SHORT,16454.7,16482.8,16398.49,16398.49,TP,522.5,1045.0,100450.0,101495.0
2024-01-03 16:35:00,2024-01-03 17:55:00,SHORT,16417.95,16438.81,16376.22,16438.81,SL,574.75,-574.75,101495.0,100920.25
2024-01-04 14:45:00,2024-01-04 14:50:00,SHORT,16307.4,16328.4,16265.4,16328.4,SL,546.01,-546.01,100920.25,100374.24
2024-01-04 14:55:00,2024-01-04 15:00:00,SHORT,16310.65,16335.57,16260.82,16335.57,SL,518.71,-518.71,100374.24,99855.53
2024-01-04 16:45:00,2024-01-04 17:00:00,SHORT,16392.85,16410.54,16357.47,16357.47,TP,492.78,985.55,99855.53,100841.08
2024-01-05 13:30:00,2024-01-05 13:50:00,SHORT,16222.1,16240.08,16186.15,16240.08,SL,542.05,-542.05,100841.07,100299.02
2024-01-08 14:05:00,2024-01-08 14:15:00,LONG,16340.5,16329.56,16362.37,16362.37,TP,514.95,1029.9,100299.03,101328.93
2024-01-08 16:30:00,2024-01-08 17:05:00,LONG,16514.85,16499.47,16545.61,16545.61,TP,566.45,1132.89,101328.93,102461.82
2024-01-09 14:40:00,2024-01-09 14:55:00,SHORT,16534.35,16555.54,16491.97,16555.54,SL,623.09,-623.09,102461.82,101838.73
2024-01-10 14:50:00,2024-01-10 15:10:00,SHORT,16680.75,16698.76,16644.74,16698.76,SL,591.94,-591.94,101838.73,101246.79
2024-01-10 16:40:00,2024-01-10 16:50:00,LONG,16744.15,16728.89,16774.67,16728.89,SL,562.34,-562.34,101246.79,100684.45
2024-01-10 16:55:00,2024-01-10 17:55:00,LONG,16739.4,16723.81,16770.58,16770.58,TP,534.22,1068.45,100684.45,101752.9
2024-01-11 13:30:00,2024-01-11 14:25:00,SHORT,16811.0,16837.68,16757.64,16837.68,SL,587.64,-587.64,101752.89,101165.25
2024-01-11 14:45:00,2024-01-11 15:00:00,SHORT,16811.0,16841.15,16750.7,16750.7,TP,558.26,1116.53,101165.25,102281.78
2024-01-11 17:25:00,2024-01-11 17:40:00,SHORT,16649.1,16676.04,16595.23,16676.04,SL,614.09,-614.09,102281.78,101667.69
2024-01-12 13:30:00,2024-01-12 13:45:00,LONG,16830.35,16809.74,16871.58,16809.74,SL,583.38,-583.38,101667.68,101084.3
2024-01-12 15:10:00,2024-01-15 03:55:00,SHORT,16827.85,16860.53,16762.49,16860.53,SL,554.22,-554.22,101084.31,100530.09
2024-01-15 14:45:00,2024-01-15 14:55:00,SHORT,16816.2,16825.17,16798.26,16825.17,SL,526.5,-526.5,100530.08,100003.58
2024-01-15 15:20:00,2024-01-15 15:45:00,LONG,16823.95,16815.2,16841.45,16841.45,TP,500.18,1000.36,100003.58,101003.94
2024-01-15 16:50:00,2024-01-15 17:05:00,SHORT,16834.7,16840.71,16822.69,16840.71,SL,550.2,-550.2,101003.95,100453.75
2024-01-15 17:15:00,2024-01-15 23:05:00,SHORT,16840.2,16846.2,16828.21,16828.21,TP,522.69,1045.37,100453.75,101499.12
2024-01-16 13:50:00,2024-01-16 14:25:00,SHORT,16769.25,16785.55,16736.65,16785.55,SL,574.96,-574.96,101499.12,100924.16
2024-01-16 14:55:00,2024-01-16 15:20:00,LONG,16788.75,16761.86,16842.53,16842.53,TP,546.21,1092.42,100924.16,102016.58
2024-01-16 16:15:00,2024-01-16 16:55:00,LONG,16861.55,16826.79,16931.07,16826.79,SL,600.83,-600.83,102016.58,101415.75
2024-01-17 17:00:00,2024-01-17 17:10:00,SHORT,16678.75,16697.4,16641.45,16697.4,SL,570.79,-570.79,101415.75,100844.96
